id,sentence,tane,henkei,tane extraction,henkei extraction,tane match,henkei match,tane match2,henkei match2,type,thres
1,坊っちゃんがぼっちゃんと水に飛び込む,坊っちゃん,ぼっちゃんと,,,,,,,,
2,高菜、あったかな？,高菜,あったかな,,,,,,,,
3,炭のすみか,炭,すみか,,,,,,,,
4,この寺の檀家はダンカン,檀家,ダンカン,,,,,,,,
5,ナウシカを誘う鹿,ナウシカ,誘う鹿,,,,,,,,
6,ノーベル賞の授与式は公開するから、ノーベールでしょう,ノーベル賞,ノーベールでしょう,,,,,,,,
7,バングラデシュのパンいくらでしゅ？,バングラデシュ,パンいくらでしゅ,,,,,,,,
8,大王が大<だい>をーされたようです,大王,大<だい>をーされたようです,,,,,,,,
9,スパイダーマンはスパイだっ,スパイダーマン,スパイだっ,,,,,,,,
10,キバの置き場,キバ,置き場,,,,,,,,
12,盲腸の手術の跡、もうちょっと何とかならないかな？,盲腸,もうちょっと,,,,,,,,
13,サイパンのキャラはサイパンダ,サイパン,サイパンダ,,,,,,,,
14,バチカンに多い昆虫は、ハチかん？,バチカン,ハチかん,,,,,,,,
15,綿花の仕事を始めんか？,綿花,始めんか,,,,,,,,
16,豊島園の年増えーんかい？,豊島園,年増えーん,,,,,,,,
18,いよかん食べたらいー予感,いよかん,らいー予感,,,,,,,,
20,掃除機は正直,掃除機,正直,,,,,,,,
22,キューバの寛容性を急場の菅、要請,キューバの寛容性,急場の菅、要請,,,,,,,,
23,懲戒されるの？　ああ、ちょうかい,懲戒,ちょうかい,,,,,,,,
24,キネなんか持って、どういう気ね？,キネ,どういう気ね,,,,,,,,
25,レストランは決めとらん,レストラン,決めとらん,,,,,,,,
27,ハモ２ヶ月でハモニカをマスター,ハモ２ヶ月,ハモニカ,,,,,,,,
28,抱いた遺骨が大腿骨,た遺骨,大腿骨,,,,,,,,
29,ジーパンはいたおジーパン<おじーさん>,ジーパン,ジーパン,,,,,,,,
31,姻戚<いんせき>が引責辞任,姻戚<いんせき>,引責,,,,,,,,
32,秋田はあきた,秋田,あきた,,,,,,,,
33,砂糖の安売りに人が殺到する,砂糖,殺到,,,,,,,,
34,キッチンをもっときっちんとしないと,キッチン,きっちんとしないと,,,,,,,,
35,アブク銭が水の中へ……「ブクブク」,アブク,「ブクブク」,,,,,,,,
36,百済と組んだら？,百済,組んだら,,,,,,,,
37,ユウコとゆこう,ユウコ,ゆこう,,,,,,,,
38,在りし日、ヤンキーズの試合観戦、アリ氏,在りし,アリ氏,,,,,,,,
39,この羽毛、重<おも>ぉ～,羽毛,重<おも>ぉ～,,,,,,,,
40,マスカラをつけますから,マスカラ,つけますから,,,,,,,,
41,豆満江で活躍しても、全く富まんコウ,豆満江,富まんコウ,,,,,,,,
43,運だよねうんそうだよやっぱ運だよね,運,うん運,,,,,,,,
44,会津は、あー、いずこ？,会津,あー、いずこ,,,,,,,,
45,ユニセックス着て湯にセックスへ,ユニセックス,湯にセックス,,,,,,,,
46,冥王星に姪を連れて行け,冥王星,姪を,,,,,,,,
47,キウイは急いは食べられない？,キウイ,急い,,,,,,,,
48,ダジャレを言うのは誰じゃ,ダジャレ,誰じゃ,,,,,,,,
49,競馬の結果でも書け～ば？,競馬,書け～ば,,,,,,,,
50,世界の為替かい？,世界,為替かい,,,,,,,,
51,有権者は投票に行<ゆ>けん,有権者,行<ゆ>けん,,,,,,,,
52,このバンドはボーカルの人が一番ぼーかる<儲かる>みたい,ボーカル,ぼーかる<儲かる>,,,,,,,,
53,中学時はチュウが九時,中学時,チュウが九時,,,,,,,,
54,だぼくで死んだ僕,だぼく,死んだ僕,,,,,,,,
55,サバンナに、朝晩な!,サバンナ,朝晩な!,,,,,,,,
56,大阪大の無駄の多さ、課題,大阪大,多さ、課題,,,,,,,,
57,携帯に髪がはさまって、毛痛い電話？,携帯,毛痛い,,,,,,,,
58,福井で服いる？,福井,服いる,,,,,,,,
59,かつおだしは、しょせん、かつおだし…,かつおだし,かつおだし,,,,,,,,
60,クビになった人は、九尾の狐になって化けて出る,クビ,九尾,,,,,,,,
61,ワクチン開発に沸くチンタオ,ワクチン,沸くチンタオ,,,,,,,,
